make,model,manufactured,reg_date,type_of_vehicle,category,transmission,curb_weight,power,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,price,make_encoded,model_encoded,manufactured_encoded,reg_date_encoded,type_of_vehicle_encoded,category_encoded
bmw,x2,2019.0,2020,suv,"parf car, premium ad car, low mileage car",0,1415.0,103.0,1499.0,3.0,19770.0,37705,684.0,54833.0,30000.0,38486.0,45881.0,130000.0,8,210,7,9,0,6
honda,shuttle,2019.0,2019,stationwagon,Other,0,1130.0,97.0,1496.0,1.0,14860.0,10000,182.0,13082.0,47000.0,20549.0,10769.0,79800.0,2,28,7,8,7,23
toyota,c-hr,2017.0,2017,suv,"parf car, premium ad car, hybrid cars",0,1440.0,90.0,1797.0,1.0,17370.0,53711,974.0,21466.0,157906.0,32006.0,6809.0,58500.0,3,146,1,1,0,11
honda,stepwagon,2018.0,2020,mpv,parf car,0,1680.0,110.0,1496.0,1.0,21260.0,30012,682.0,43087.0,77000.0,30414.0,34580.0,138800.0,2,285,0,9,2,0
kia,cerato,2009.0,2010,mid-sized sedan,"coe car, premium ad car",0,1251.0,92.0,1591.0,4.0,11430.0,32368,1107.0,18073.0,180000.0,14454.0,14454.0,63800.0,18,37,15,19,3,3
toyota,harrier,2021.0,2022,suv,"parf car, premium ad car, hybrid cars",0,1665.0,160.0,2487.0,1.0,21650.0,92090,1784.0,98740.0,25000.0,40927.0,34298.0,188800.0,3,36,14,5,0,11
bmw,Other,2017.0,2017,luxury sedan,"parf car, premium ad car",0,1865.0,330.0,4395.0,3.0,32790.0,50000,4568.0,138508.0,68000.0,120170.0,188306.0,199800.0,8,17,1,1,1,1
toyota,dyna,2014.0,2014,truck,"coe car, premium ad car",1,1740.0,19.0,2982.0,1.0,10780.0,35310,3003.21150962459,35252.0,5746.0,27856.0,1393.0,53800.0,3,135,13,14,5,3
toyota,land,2019.0,2020,suv,"parf car, premium ad car, sgcarmart warranty cars",0,2550.0,234.0,4608.0,2.0,28590.0,32889,4902.0,86871.0,83000.0,65981.0,90766.0,208800.0,3,307,7,9,0,8
mazda,2,2015.0,2016,luxury sedan,"parf car, premium ad car",0,1454.0,121.0,1998.0,2.0,13640.0,45009,1210.0,18641.0,110000.0,20475.0,20665.0,32388.0,10,18,10,12,1,1
suzuki,Other,2015.0,2016,mid-sized sedan,parf car,0,1025.0,68.0,1373.0,2.0,13640.0,47300,610.0,15453.0,186824.0,16745.0,11745.0,31800.0,27,17,10,12,3,0
land rover,range,2011.0,2011,suv,"coe car, premium ad car, sgcarmart warranty cars",0,1720.0,177.0,1999.0,5.0,15890.0,58124,1576.0,42407.0,130000.0,53086.0,53086.0,115900.0,0,0,11,7,0,16
nissan,serena,2019.0,2019,mpv,"parf car, premium ad car, low mileage car",0,1758.0,100.0,1198.0,1.0,20740.0,36000,508.0,37648.0,44200.0,30076.0,24107.0,124800.0,17,190,7,8,2,6
honda,jazz,2018.0,2018,hatchback,"parf car, premium ad car",0,1088.0,96.0,1498.0,1.0,14800.0,34110,684.0,25723.0,68000.0,16882.0,16882.0,68800.0,2,82,0,0,6,1
lexus,nx,2022.0,2022,suv,"parf car, hybrid cars",0,1790.0,179.0,2487.0,1.0,28000.0,77700,1784.0,108581.0,46800.0,59063.0,63314.0,251800.0,4,180,5,5,0,20
honda,vezel,2015.0,2016,suv,parf car,0,1190.0,96.0,1496.0,2.0,14350.0,50000,682.0,16832.0,119000.0,19424.0,9424.0,36800.0,2,55,10,12,0,0
honda,cr-v,2018.0,2018,suv,"parf car, low mileage car",0,1527.0,142.0,1498.0,2.0,19050.0,32552,684.0,35255.0,48100.0,28152.0,31413.0,96500.0,2,26,0,0,0,19
bmw,318i,2017.0,2017,luxury sedan,"parf car, premium ad car",0,1425.0,100.0,1499.0,1.0,16580.0,49996,684.0,38672.0,111000.0,34502.0,35303.0,69800.0,8,12,1,1,1,1
bmw,530i,2017.0,2017,luxury sedan,parf car,0,1540.0,185.0,1998.0,2.0,22540.0,54000,1210.0,50883.0,89000.0,49363.0,61109.0,89889.0,8,141,1,1,1,0
infiniti,q50,2016.0,2017,luxury sedan,"parf car, premium ad car",0,1740.0,298.0,2997.0,2.0,39890.0,54406,2382.0,47339.0,79000.0,44787.0,54702.0,133800.0,28,129,8,1,1,1
porsche,911,2021.0,2022,sports car,"parf car, rare & exotic, premium ad car, low mileage car",0,1685.0,353.0,2981.0,2.0,79110.0,83911,2364.0,300017.0,4000.0,191748.0,317147.0,780000.0,25,181,14,5,4,5
toyota,previa,2015.0,2015,mpv,"parf car, direct owner sale",0,1775.0,125.0,2362.0,3.0,20310.0,62140,1638.0,31786.0,153500.0,37090.0,43926.0,46888.0,3,97,10,10,2,21
porsche,panamera,2018.0,2018,sports car,"parf car, premium ad car",0,1815.0,243.0,2995.0,1.0,44840.0,36000,2380.0,147040.0,90000.0,120035.0,188063.0,285800.0,25,144,0,0,4,1
bmw,116d,2015.0,2015,hatchback,parf car,0,1350.0,85.0,1496.0,1.0,16100.0,57498,1082.0,12796.0,127000.0,24003.0,10605.0,24800.0,8,158,10,10,6,0
toyota,camry,2006.0,2006,luxury sedan,coe car,0,1530.0,108.0,1998.0,4.0,12600.0,56053,1815.0,13745.0,246000.0,27853.0,30639.0,30900.0,3,121,4,4,1,9
mini,one,2011.0,2012,hatchback,"coe car, premium ad car, low mileage car",0,1100.0,72.0,1598.0,6.0,11140.0,28335,965.0,15153.0,119077.0,17729.0,17729.0,29800.0,20,106,11,13,6,2
mazda,3,2017.0,2017,mid-sized sedan,"parf car, premium ad car, sgcarmart warranty cars",0,1310.0,88.0,1496.0,2.0,12520.0,42801,682.0,18474.0,81000.0,14761.0,9761.0,41800.0,10,15,1,1,3,8
nissan,Other,2012.0,2012,truck,"coe car, premium ad car",1,1800.0,19.0,2488.0,1.0,8770.0,43284,1786.0,32457.0,46033.0,27434.0,27434.0,65800.0,17,17,12,13,5,3
mercedes-benz,amg,2016.0,2016,luxury sedan,"parf car, premium ad car, sgcarmart warranty cars",0,1605.0,135.0,1991.0,3.0,27120.0,56206,1202.0,55640.0,116000.0,54213.0,69584.0,101800.0,1,29,8,12,1,8
mitsubishi,attrage,2019.0,2019,mid-sized sedan,"parf car, low mileage car",0,940.0,59.0,1193.0,1.0,11930.0,32725,506.0,20839.0,44200.0,14399.0,5000.0,64800.0,6,70,7,8,3,19
toyota,previa,2019.0,2019,mpv,"parf car, premium ad car",0,1775.0,125.0,2362.0,1.0,23540.0,36001,1638.0,48360.0,84136.0,34487.0,40282.0,138800.0,3,97,7,8,2,1
mazda,3,2016.0,2016,mid-sized sedan,"parf car, premium ad car",0,1321.0,88.0,1496.0,2.0,12300.0,45504,682.0,15380.0,145000.0,18865.0,13865.0,27888.0,10,15,8,12,3,1
toyota,alphard,2015.0,2017,mpv,parf car,0,2000.0,134.0,2493.0,3.0,28930.0,46229,1792.0,48632.0,88126.0,49240.0,60936.0,106000.0,3,62,10,1,2,0
mini,cooper,2015.0,2016,sports car,parf car,0,1240.0,141.0,1998.0,4.0,29020.0,49602,1210.0,23399.0,102000.0,27708.0,25792.0,66800.0,20,42,10,12,4,0
bmw,730li,2006.0,2006,luxury sedan,"coe car, low mileage car",0,1910.0,190.0,2996.0,1.0,16350.0,56751,3573.0,13496.0,75000.0,84000.0,92400.0,38888.0,8,261,4,4,1,12
mazda,3,2015.0,2015,mid-sized sedan,"parf car, premium ad car",0,1321.0,88.0,1496.0,1.0,18730.0,61000,682.0,9067.0,131500.0,14138.0,5000.0,21900.0,10,15,10,10,3,1
honda,vezel,2019.0,2022,suv,"parf car, sgcarmart warranty cars",0,1190.0,96.0,1496.0,1.0,13920.0,53709,682.0,49400.0,28000.0,23466.0,9853.0,113800.0,2,55,7,5,0,14
honda,fit,2019.0,2019,hatchback,"parf car, premium ad car, low mileage car",0,1030.0,73.0,1317.0,1.0,13660.0,26999,578.0,18853.0,45886.0,16359.0,6359.0,74500.0,2,56,7,8,6,6
bmw,520i,2019.0,2019,luxury sedan,"parf car, premium ad car",0,1530.0,135.0,1998.0,1.0,21840.0,36667,1210.0,64021.0,90000.0,52429.0,66373.0,137777.0,8,123,7,8,1,1
toyota,allion,2008.0,2008,mid-sized sedan,coe car,0,1200.0,81.0,1496.0,3.0,9650.0,30284,1023.0,12802.0,180000.0,15900.0,10395.0,40800.0,3,246,3,3,3,9
toyota,rav4,2006.0,2006,suv,"coe car, premium ad car, low mileage car",0,1470.0,125.0,2362.0,1.0,11440.0,56751,2457.0,13294.0,158000.0,21441.0,23586.0,26800.0,3,124,4,4,0,2
porsche,cayman,2006.0,2006,sports car,"coe car, premium ad car, low mileage car",0,1455.0,217.0,3387.0,6.0,29270.0,56053,4488.0,13407.0,160000.0,96295.0,105925.0,70000.0,25,162,4,4,4,2
nissan,qashqai,2016.0,2016,suv,"parf car, premium ad car",0,1285.0,85.0,1197.0,3.0,12610.0,49751,508.0,20870.0,149266.0,18725.0,13725.0,38888.0,17,41,8,12,0,1
citroen,c4,2022.0,2022,mpv,"parf car, premium ad car",0,1397.0,96.0,1199.0,1.0,14830.0,84000,508.0,84652.0,31752.0,22335.0,23269.0,132800.0,24,86,5,5,2,1
toyota,harrier,2016.0,2016,suv,parf car,0,1610.0,111.0,1986.0,2.0,17870.0,57501,1196.0,31047.0,89893.0,31650.0,31310.0,53800.0,3,36,8,12,0,0
toyota,hiace,2015.0,2016,van,-,1,1760.0,0.0,2982.0,2.0,16740.0,45890,3003.21150962459,7619.0,148591.0,28476.0,1424.0,27800.0,3,43,10,12,9,7
scania,Other,2010.0,2011,truck,"coe car, premium ad car, low mileage car",1,25560.0,19.0,11705.0,1.0,80180.0,19904,16248.704431096598,8431.0,110000.0,131593.0,6580.0,169800.0,49,17,6,7,5,2
toyota,hiace,2017.0,2017,van,premium ad car,1,1700.0,0.0,2982.0,1.0,13830.0,32078,3003.21150962459,10388.0,85922.0,28138.0,1407.0,44800.0,3,43,1,1,9,15
bmw,328i,2012.0,2012,luxury sedan,"coe car, premium ad car",0,1455.0,180.0,1997.0,3.0,19920.0,60586,1452.0,44734.0,45237.0,41207.0,41207.0,147101.0,8,185,12,13,1,3
lexus,es,2016.0,2017,luxury sedan,"parf car, premium ad car",0,1615.0,135.0,2494.0,2.0,17810.0,52807,1792.0,38552.0,109894.0,36195.0,42673.0,65000.0,4,52,8,1,1,1
honda,vezel,2018.0,2021,suv,"parf car, hybrid cars, sgcarmart warranty cars",0,1280.0,112.0,1496.0,1.0,15970.0,61001,682.0,55483.0,31000.0,27392.0,15349.0,122800.0,2,55,0,16,0,36
hyundai,elantra,2018.0,2018,mid-sized sedan,"parf car, premium ad car",0,1345.0,93.0,1591.0,1.0,12840.0,30209,738.0,23245.0,101000.0,14549.0,14549.0,62800.0,12,21,0,0,3,1
porsche,boxster,2006.0,2008,sports car,"coe car, premium ad car, low mileage car",0,1393.0,245.0,2687.0,4.0,30020.0,50168,3027.0,17360.0,143388.0,43028.0,43028.0,103888.0,25,242,4,3,4,2
bmw,218i,2015.0,2015,hatchback,parf car,0,1360.0,100.0,1499.0,3.0,20910.0,62140,684.0,19955.0,111000.0,25495.0,22693.0,36500.0,8,120,10,10,6,0
hyundai,elantra,2018.0,2018,mid-sized sedan,"parf car, premium ad car",0,1345.0,93.0,1591.0,2.0,12800.0,25556,738.0,19720.0,108000.0,12628.0,12628.0,60800.0,12,21,0,0,3,1
mercedes-benz,e200,2018.0,2018,luxury sedan,"parf car, low mileage car",0,1605.0,135.0,1991.0,2.0,24740.0,36000,1202.0,63760.0,21000.0,54268.0,69683.0,137800.0,1,11,0,0,1,19
mercedes-benz,cla180,2023.0,2023,luxury sedan,"parf car, low mileage car",0,1410.0,96.0,1332.0,1.0,20660.0,88000,586.0,109168.0,10000.0,35908.0,42272.0,202999.0,1,75,17,11,1,19
toyota,camry,2020.0,2021,luxury sedan,"parf car, hybrid cars",0,1495.0,160.0,2487.0,1.0,19220.0,47001,1784.0,50097.0,47600.0,33701.0,24182.0,142800.0,3,121,9,16,1,20
bmw,318i,2016.0,2017,luxury sedan,"parf car, premium ad car",0,1425.0,100.0,1499.0,3.0,22410.0,53106,684.0,32062.0,128304.0,31259.0,30763.0,72800.0,8,12,8,1,1,1
kia,cerato,2015.0,2016,mid-sized sedan,"parf car, premium ad car, low mileage car",0,1295.0,95.0,1591.0,1.0,14280.0,43000,738.0,16615.0,79849.0,16864.0,16864.0,32800.0,18,37,10,12,3,6
citroen,berlingo,2015.0,2016,van,-,0,1420.0,12.0,1560.0,2.0,14720.0,46001,1278.0,7423.0,128500.0,17968.0,899.0,23800.0,24,235,10,12,9,7
citroen,Other,2021.0,2022,van,"premium ad car, electric cars",0,2100.0,12.0,1840.0,2.0,12380.0,32556,1026.0,24716.0,82420.0,45615.0,2281.0,93999.0,24,17,14,5,9,50
mercedes-benz,amg,2022.0,2023,suv,"parf car, rare & exotic, premium ad car, hybrid cars",0,2460.0,286.0,2999.0,1.0,43610.0,108051,2384.0,199013.0,19000.0,95498.0,150096.0,455000.0,1,29,5,11,0,96
bmw,216i,2017.0,2017,mpv,"parf car, premium ad car, sgcarmart warranty cars",0,1480.0,75.0,1499.0,2.0,14860.0,42900,684.0,33242.0,92000.0,27881.0,31034.0,60800.0,8,30,1,1,2,8
honda,shuttle,2022.0,2023,mid-sized sedan,"parf car, consignment car",0,1130.0,95.0,1496.0,1.0,13360.0,93503,682.0,85981.0,55000.0,18846.0,5000.0,120000.0,2,28,5,11,3,41
honda,civic,2017.0,2017,mid-sized sedan,parf car,0,1249.0,92.0,1597.0,1.0,16820.0,46778,742.0,27801.0,75150.0,19584.0,19584.0,64000.0,2,16,1,1,3,0
subaru,forester,2015.0,2015,suv,"parf car, premium ad car",0,1682.0,177.0,1998.0,1.0,14950.0,61103,1210.0,19125.0,138699.0,17728.0,17728.0,31800.0,7,72,10,10,0,1
bmw,x1,2016.0,2016,suv,Other,0,1485.0,141.0,1998.0,1.0,18160.0,56410,1210.0,39087.0,118000.0,37270.0,44178.0,62588.0,8,88,8,12,0,23
porsche,718,2022.0,2022,sports car,"parf car, low mileage car",0,1490.0,368.0,3996.0,1.0,77020.0,112001,3944.0,334686.0,4681.0,175809.0,326780.0,788800.0,25,214,5,5,4,19
toyota,gr,2018.0,2019,hatchback,"parf car, premium ad car, low mileage car",1,1120.0,156.0,1798.0,2.0,18020.0,38602,976.0,49994.0,18602.0,34180.0,39852.0,113800.0,3,308,0,8,6,6
ssangyong,Other,2016.0,2017,mpv,"parf car, premium ad car",0,2080.0,114.0,1998.0,1.0,16660.0,48556,1810.0,30106.0,97000.0,25606.0,27849.0,59900.0,14,17,8,1,2,1
toyota,vellfire,2019.0,2019,mpv,parf car,0,2030.0,134.0,2493.0,1.0,28500.0,40001,1792.0,67724.0,119730.0,50313.0,62564.0,179500.0,3,91,7,8,2,0
nissan,note,2021.0,2021,hatchback,"parf car, hybrid cars",0,1220.0,85.0,1198.0,2.0,14410.0,45001,714.0,37082.0,60000.0,21662.0,7327.0,104800.0,17,50,14,16,6,20
toyota,c-hr,2017.0,2018,suv,"parf car, low mileage car, hybrid cars",0,1440.0,90.0,1797.0,2.0,17020.0,32809,974.0,28146.0,41000.0,28094.0,21332.0,79800.0,3,146,1,0,0,31
nissan,qashqai,2017.0,2017,suv,"parf car, premium ad car",0,1285.0,85.0,1197.0,1.0,12430.0,51765,508.0,21481.0,101000.0,18583.0,13583.0,38800.0,17,41,1,1,0,1
aston martin,v8,2011.0,2011,sports car,"coe car, premium ad car, low mileage car",0,1710.0,313.0,4735.0,2.0,24930.0,47701,7140.0,31914.0,37000.0,172149.0,172149.0,166800.0,62,318,11,7,4,2
king long,Other,2015.0,2015,bus/mini bus,-,0,10560.0,4.0,6691.0,1.0,101100.0,50001,8635.165338094115,5836.0,556000.0,154943.0,7748.0,118000.0,63,17,10,10,8,7
mercedes-benz,s400,2014.0,2015,luxury sedan,parf car,0,1935.0,245.0,2996.0,3.0,36540.0,75000,2382.0,88126.0,137546.0,96954.0,146518.0,109999.0,1,177,13,10,1,0
mitsubishi,lancer,2008.0,2008,mid-sized sedan,"coe car, premium ad car",1,1397.0,114.0,1998.0,5.0,12210.0,38712,1815.0,15156.0,178500.0,18925.0,18925.0,47800.0,6,71,3,3,3,3
honda,vezel,2018.0,2019,suv,"parf car, premium ad car",0,1190.0,96.0,1496.0,2.0,13860.0,26309,682.0,22381.0,72000.0,23412.0,14777.0,70800.0,2,55,0,8,0,1
honda,vezel,2015.0,2016,suv,"parf car, consignment car",0,1190.0,96.0,1496.0,2.0,14540.0,47300,682.0,13995.0,93330.0,19376.0,9376.0,31888.0,2,55,10,12,0,41
toyota,wish,2016.0,2016,mpv,"parf car, premium ad car",0,1360.0,105.0,1798.0,2.0,15110.0,56410,976.0,25048.0,117652.0,19955.0,19955.0,45000.0,3,87,8,12,2,1
bmw,320i,2013.0,2014,luxury sedan,"coe car, premium ad car",0,1420.0,135.0,1997.0,4.0,17950.0,64047,1331.0,53378.0,165000.0,35061.0,31086.0,74800.0,8,240,18,14,1,3
honda,shuttle,2018.0,2019,stationwagon,"parf car, hybrid cars",0,1190.0,101.0,1496.0,2.0,15210.0,39401,682.0,28706.0,110000.0,22872.0,14021.0,79988.0,2,28,0,8,7,20
honda,shuttle,2022.0,2023,stationwagon,"parf car, premium ad car, low mileage car",0,1130.0,95.0,1496.0,1.0,13110.0,98001,682.0,82151.0,6513.0,18735.0,5000.0,117800.0,2,28,5,11,7,6
citroen,c4,2016.0,2017,suv,"parf car, premium ad car",0,1240.0,96.0,1199.0,2.0,11700.0,50889,508.0,18502.0,80000.0,18715.0,8715.0,34900.0,24,86,8,1,0,1
honda,freed,2018.0,2018,mpv,"parf car, premium ad car, hybrid cars",0,1430.0,101.0,1496.0,2.0,17390.0,33900,682.0,25209.0,68400.0,25821.0,18150.0,77888.0,2,85,0,0,2,11
mazda,2,2016.0,2016,luxury sedan,parf car,0,1454.0,121.0,1998.0,2.0,14060.0,45009,1210.0,19656.0,135068.0,21312.0,21837.0,34800.0,10,18,8,12,1,0
toyota,sienta,2017.0,2018,mpv,"parf car, premium ad car",0,1320.0,80.0,1496.0,2.0,14020.0,34400,682.0,27278.0,80500.0,21232.0,21725.0,64500.0,3,132,1,0,2,1
toyota,altis,2014.0,2014,mid-sized sedan,coe car,0,1205.0,90.0,1598.0,2.0,12200.0,39241,742.0,38273.0,84599.0,18650.0,13650.0,59500.0,3,3,13,14,3,9
maserati,grancabrio,2010.0,2011,sports car,"coe car, direct owner sale, low mileage car",0,1980.0,323.0,4691.0,6.0,23820.0,42683,6539.0,28311.0,70000.0,118686.0,118686.0,158000.0,46,231,6,7,4,27
volkswagen,tiguan,2020.0,2021,suv,parf car,0,1660.0,110.0,1395.0,2.0,17900.0,51900,624.0,60892.0,43000.0,29756.0,33659.0,139800.0,11,163,9,16,0,0
peugeot,3008,2017.0,2018,suv,parf car,0,1270.0,96.0,1199.0,2.0,14480.0,38200,508.0,28953.0,85000.0,22786.0,23901.0,62800.0,23,126,1,0,0,0
toyota,c-hr,2017.0,2017,suv,"parf car, hybrid cars",0,1440.0,90.0,1797.0,2.0,16770.0,53001,974.0,18461.0,139479.0,31539.0,6155.0,49800.0,3,146,1,1,0,20
bmw,523i,2010.0,2010,luxury sedan,"coe car, premium ad car",0,1650.0,150.0,2497.0,6.0,12630.0,32914,2514.0,19748.0,55782.0,42488.0,42488.0,75800.0,8,84,6,19,1,3
volvo,v40,2017.0,2017,hatchback,"parf car, premium ad car",0,1454.0,90.0,1498.0,2.0,14130.0,47112,684.0,28980.0,102004.0,23530.0,19942.0,58000.0,16,33,1,1,6,1
volkswagen,passat,2016.0,2016,luxury sedan,parf car,0,1505.0,162.0,1984.0,2.0,16950.0,46229,1194.0,35089.0,110000.0,34595.0,40433.0,59933.0,11,58,8,12,1,0
hyundai,tucson,2017.0,2017,suv,"parf car, sgcarmart warranty cars",0,1540.0,114.0,1999.0,1.0,17240.0,49996,1212.0,26895.0,66000.0,15351.0,15351.0,65999.0,12,211,1,1,0,14
toyota,camry,2007.0,2007,luxury sedan,"coe car, premium ad car, low mileage car",0,1530.0,108.0,1998.0,3.0,11540.0,50451,1815.0,16960.0,138800.0,26761.0,29438.0,38800.0,3,121,2,2,1,2
toyota,hiace,2024.0,2024,bus/mini bus,"almost new car, premium ad car, low mileage car",0,2180.0,0.0,2754.0,1.0,15210.0,68502,3000.0,67564.0,15.0,47534.0,2377.0,149999.0,3,43,19,18,8,53
mercedes-benz,200,1991.0,1992,luxury sedan,coe car,0,1602.0,0.0,1996.0,4.0,8810.0,31933,1208.0,15039.0,47499.0,43047.0,64571.0,41500.0,1,269,22,22,1,9
isuzu,nhr85a,2015.0,2016,truck,-,1,1960.0,0.0,2999.0,1.0,12950.0,40911,2384.0,7521.0,11094.0,24843.0,1243.0,23800.0,15,183,10,12,5,7
mazda,rx-8,2008.0,2009,sports car,"coe car, low mileage car",0,1360.0,158.0,1308.0,6.0,12370.0,29485,858.0,15615.0,93000.0,30279.0,30279.0,65500.0,10,208,3,6,4,12
honda,hr-v,2019.0,2019,suv,"parf car, premium ad car",0,1200.0,96.0,1496.0,1.0,15330.0,26999,682.0,31341.0,60631.0,22657.0,23720.0,88800.0,2,117,7,8,0,1
toyota,hiace,2005.0,2005,van,coe car,1,1740.0,0.0,2494.0,4.0,9980.0,12728,1792.0,1632.0,128583.0,23804.0,1191.0,12800.0,3,43,24,23,9,9
honda,civic,2016.0,2017,mid-sized sedan,"parf car, premium ad car, low mileage car",0,1324.0,127.0,1498.0,1.0,17890.0,56206,684.0,29833.0,71000.0,27624.0,25674.0,58800.0,2,16,8,1,3,6
toyota,estima,2006.0,2006,mpv,coe car,0,1700.0,125.0,2362.0,3.0,15130.0,48479,2457.0,9895.0,55599.0,32248.0,35473.0,30888.0,3,39,4,4,2,9
mercedes-benz,c180,2016.0,2017,luxury sedan,"parf car, premium ad car",0,1425.0,115.0,1595.0,3.0,21340.0,53300,740.0,38835.0,89396.0,37333.0,39267.0,80800.0,1,8,8,1,1,1
porsche,macan,2017.0,2017,suv,"parf car, consignment car",0,1845.0,185.0,1984.0,2.0,35830.0,48005,1194.0,70627.0,98000.0,62456.0,84421.0,159800.0,25,64,1,1,0,41
audi,a3,2019.0,2020,luxury sedan,parf car,0,1280.0,85.0,999.0,1.0,14690.0,40714,392.0,42790.0,60000.0,22086.0,22921.0,103800.0,9,80,7,9,1,0
mitsubishi,fuso,2019.0,2019,truck,premium ad car,1,6260.0,0.0,7545.0,1.0,24730.0,25089,9931.926882853611,12764.0,58289.0,61182.0,3060.0,125800.0,6,139,7,8,5,15
honda,vezel,2017.0,2017,suv,"parf car, low mileage car, hybrid cars, sgcarmart warranty cars",0,1280.0,112.0,1496.0,1.0,15730.0,57501,682.0,23057.0,65000.0,25194.0,5000.0,56800.0,2,55,1,1,0,32
nissan,x-trail,2018.0,2018,suv,parf car,0,1626.0,106.0,1997.0,2.0,19040.0,32551,1210.0,31130.0,106000.0,24057.0,25680.0,89800.0,17,188,0,0,0,0
toyota,alphard,2019.0,2019,mpv,parf car,0,2030.0,134.0,2493.0,1.0,28030.0,36000,1792.0,69219.0,51000.0,52071.0,65728.0,187999.0,3,62,7,8,2,0
honda,jazz,2018.0,2018,hatchback,"parf car, premium ad car",0,1052.0,73.0,1318.0,1.0,14670.0,40000,578.0,18947.0,88000.0,15158.0,5158.0,59800.0,2,82,0,0,6,1
mitsubishi,canter,2013.0,2014,truck,"coe car, premium ad car",0,2400.0,19.0,2998.0,1.0,10940.0,35527,2384.0,33658.0,130000.0,29658.0,1483.0,51800.0,6,10,18,14,5,3
subaru,legacy,2006.0,2006,stationwagon,"coe car, premium ad car",0,1525.0,180.0,1994.0,5.0,15720.0,46048,1809.0,9020.0,198612.0,31513.0,34665.0,30800.0,7,254,4,4,7,3
bmw,216d,2016.0,2016,mpv,"parf car, direct owner sale, low mileage car",0,1480.0,85.0,1496.0,1.0,15560.0,54200,1082.0,28516.0,66523.0,31478.0,26070.0,50000.0,8,116,8,12,2,29
subaru,forester,2017.0,2017,suv,parf car,0,1682.0,177.0,1998.0,2.0,15790.0,50110,1210.0,25190.0,111886.0,18095.0,18095.0,54200.0,7,72,1,1,0,0
toyota,Other,2015.0,2016,mpv,"parf car, premium ad car",0,1570.0,112.0,1986.0,3.0,22690.0,53001,1196.0,31126.0,119000.0,26934.0,29708.0,71800.0,3,17,10,12,2,1
lexus,es,2019.0,2019,luxury sedan,"parf car, direct owner sale",0,1620.0,152.0,2487.0,1.0,21570.0,39401,1784.0,51832.0,83000.0,39999.0,47999.0,123800.0,4,52,7,8,1,21
suzuki,swift,2009.0,2009,hatchback,"coe car, direct owner sale",1,1090.0,92.0,1586.0,3.0,10870.0,29485,1104.0,15130.0,84689.0,15123.0,15123.0,55800.0,27,147,15,6,6,35
kia,cerato,2017.0,2017,mid-sized sedan,"parf car, premium ad car",0,1295.0,95.0,1591.0,1.0,14570.0,41617,738.0,24732.0,78200.0,15649.0,15649.0,58800.0,18,37,1,1,3,1
toyota,land,1979.0,2019,suv,Other,1,1550.0,60.0,2977.0,2.0,12590.0,3795,280.0,3966.0,160469.0,2657.0,2657.0,65800.0,3,307,40,8,0,23
bmw,430i,2017.0,2017,sports car,"parf car, premium ad car",0,1735.0,185.0,1998.0,4.0,26290.0,54616,1210.0,58219.0,83000.0,51205.0,64169.0,111888.0,8,25,1,1,4,1
bmw,x4,2020.0,2020,suv,parf car,0,1730.0,135.0,1998.0,1.0,28580.0,38802,1210.0,70583.0,75000.0,50066.0,62119.0,207800.0,8,49,9,9,0,0
mercedes-benz,b180,2023.0,2023,hatchback,Other,0,1415.0,96.0,1332.0,1.0,20140.0,101000,586.0,112203.0,10156.0,35621.0,41870.0,204800.0,1,110,17,11,6,23
toyota,altis,2016.0,2017,mid-sized sedan,"parf car, premium ad car",0,1215.0,90.0,1598.0,1.0,15670.0,50889,742.0,25574.0,79322.0,19990.0,19990.0,51800.0,3,3,8,1,3,1
subaru,forester,2008.0,2008,suv,"coe car, premium ad car",0,1485.0,110.0,1994.0,6.0,12230.0,36888,1809.0,15018.0,160000.0,17002.0,17002.0,49800.0,7,72,3,3,0,3
hino,xzu710r,2015.0,2016,truck,premium ad car,1,2440.0,19.0,4009.0,1.0,19970.0,27735,4562.665966847077,4833.0,131200.0,36972.0,1849.0,34800.0,40,201,10,12,5,15
tesla,model,2021.0,2021,luxury sedan,"parf car, premium ad car, electric cars",0,1844.0,377.0,2135.0,1.0,18290.0,56100,5384.0,83005.0,69000.0,72143.0,56858.0,160000.0,26,65,14,16,1,48
volvo,s60,2016.0,2016,luxury sedan,parf car,0,1589.0,90.0,1498.0,1.0,13630.0,48000,684.0,28443.0,17707.0,25281.0,27394.0,47800.0,16,66,8,12,1,0
volkswagen,golf,2018.0,2019,hatchback,"parf car, premium ad car",0,1270.0,92.0,1395.0,2.0,15770.0,26999,624.0,33669.0,78659.0,24832.0,26765.0,92800.0,11,20,0,8,6,1
audi,rs,2020.0,2020,sports car,"parf car, rare & exotic, premium ad car",0,1795.0,331.0,2894.0,2.0,38670.0,41101,2262.0,115595.0,53700.0,81529.0,118753.0,309000.0,9,290,9,9,4,85
toyota,wish,2008.0,2009,mpv,"coe car, premium ad car",0,1310.0,97.0,1794.0,3.0,12040.0,31335,1458.0,14517.0,183353.0,18803.0,18803.0,55800.0,3,87,3,6,2,3
toyota,prius,2021.0,2021,mpv,"parf car, hybrid cars",0,1500.0,100.0,1798.0,2.0,15780.0,82801,976.0,72061.0,163067.0,27588.0,15624.0,122800.0,3,115,14,16,2,20
