make,model,manufactured,reg_date,type_of_vehicle,category,transmission,curb_weight,power,engine_cap,no_of_owners,depreciation,coe,dereg_value,price
renault,renault-latitude,2011.0,19-aug-2011,luxury sedan,"coe car, direct owner sale, low mileage car",0,1495.0,104.0,1997.0,2.0,10410.0,29153,12204.0,21800.0
toyota,toyota-altis,2010.0,27-sep-2010,mid-sized sedan,"coe car, premium ad car, sgcarmart warranty cars",0,1195.0,80.0,1598.0,4.0,10150.0,33140,20828.0,63800.0
volkswagen,volkswagen-t-cross,2020.0,26-aug-2021,suv,parf car,0,1369.0,85.0,999.0,1.0,14510.0,46689,50102.0,113000.0
opel,opel-astra,2019.0,02-dec-2019,stationwagon,"parf car, sgcarmart warranty cars",0,1381.0,100.0,1598.0,2.0,12330.0,39728,37448.0,75800.0
volkswagen,volkswagen-golf,2010.0,26-aug-2011,sports car,coe car,0,1339.0,155.0,1984.0,3.0,12480.0,58306,41964.0,89800.0
toyota,toyota-corolla,1998.0,03-feb-1999,mid-sized sedan,"coe car, premium ad car",0,1201.0,86.0,1332.0,6.0,8210.0,25727,11531.0,36800.0
toyota,toyota-altis,2010.0,18-jun-2010,mid-sized sedan,"coe car, premium ad car",0,1195.0,80.0,1598.0,3.0,12780.0,16438,3035.0,11800.0
toyota,toyota-alphard,2022.0,08-may-2023,mpv,"parf car, premium ad car, low mileage car, hybrid cars",0,2210.0,145.0,2493.0,1.0,34480.0,120889,160027.0,341800.0
suzuki,suzuki-swift,2020.0,11-nov-2020,hatchback,"parf car, premium ad car, low mileage car",0,940.0,82.0,998.0,1.0,13100.0,35990,34831.0,91800.0
honda,honda-integra,2005.0,17-nov-2005,sports car,coe car,1,1193.0,118.0,1998.0,1.0,22460.0,60519,8605.0,32000.0
honda,honda-vezel,2021.0,28-feb-2022,suv,parf car,0,1250.0,87.0,1496.0,1.0,15980.0,63000,54987.0,126500.0
mercedes-benz,mercedes-benz-cla180,2015.0,01-apr-2016,luxury sedan,"parf car, premium ad car",0,1430.0,90.0,1595.0,3.0,16820.0,54301,23641.0,41800.0
bmw,bmw-x1,2016.0,08-nov-2016,suv,parf car,0,1430.0,100.0,1499.0,1.0,19130.0,53001,31775.0,61800.0
mazda,mazda-2,2019.0,29-oct-2020,suv,"parf car, low mileage car",0,2000.0,170.0,2488.0,1.0,23070.0,40990,61267.0,168800.0
morgan,morgan-plus,2021.0,07-jun-2021,sports car,"parf car, rare & exotic, low mileage car",0,1115.0,190.0,1998.0,3.0,36930.0,52200,141564.0,328000.0
kia,kia-stonic,2019.0,18-jul-2019,suv,"parf car, premium ad car, low mileage car",0,1185.0,88.0,998.0,1.0,13860.0,29159,21484.0,74988.0
subaru,subaru-forester,2018.0,05-jun-2018,suv,"parf car, consignment car",0,1591.0,110.0,1995.0,2.0,14640.0,37989,23859.0,64888.0
toyota,toyota-rav4,2019.0,26-feb-2020,suv,"parf car, premium ad car",0,1530.0,127.0,1987.0,1.0,19420.0,34900,42010.0,127000.0
mazda,mazda-2,2021.0,30-sep-2021,suv,"parf car, premium ad car, low mileage car",0,1809.0,143.0,2488.0,1.0,21460.0,68310,77296.0,174800.0
honda,honda-civic,2018.0,18-apr-2018,mid-sized sedan,"parf car, low mileage car",0,1249.0,92.0,1597.0,1.0,17540.0,40000,27856.0,75800.0
honda,honda-s2000,2007.0,03-jul-2007,sports car,"coe car, premium ad car, low mileage car",1,1250.0,178.0,2156.0,4.0,38960.0,52473,15986.0,118800.0
mercedes-benz,mercedes-benz-coupe,2020.0,15-apr-2021,suv,"parf car, premium ad car",0,1795.0,190.0,1991.0,1.0,28420.0,47001,87034.0,230800.0
fiat,fiat-fiorino,2018.0,08-oct-2019,van,premium ad car,0,1200.0,12.0,1248.0,4.0,8630.0,26501,14085.0,45888.0
toyota,toyota-hiace,2019.0,16-oct-2019,van,premium ad car,1,1700.0,0.0,2982.0,2.0,13090.0,23029,12101.0,68800.0
honda,honda-vezel,2015.0,25-sep-2015,suv,parf car,0,1190.0,96.0,1496.0,2.0,15450.0,55889,14872.0,26800.0
mercedes-benz,mercedes-benz-eqc,2023.0,14-aug-2023,suv,"parf car, premium ad car, electric cars",0,2495.0,310.0,1911.0,1.0,24640.0,123000,157211.0,259800.0
hyundai,hyundai-elantra,2011.0,13-jul-2011,mid-sized sedan,"coe car, premium ad car",0,1267.0,95.0,1591.0,5.0,11400.0,19069,5621.0,16800.0
toyota,toyota-hiace,2024.0,23-apr-2024,bus/mini bus,"almost new car, premium ad car",0,2180.0,0.0,2754.0,1.0,15200.0,67501,66539.0,149800.0
toyota,toyota-corolla,2015.0,29-dec-2015,mid-sized sedan,parf car,0,1205.0,90.0,1598.0,2.0,13530.0,54301,16978.0,26800.0
honda,honda-civic,2018.0,02-nov-2018,mid-sized sedan,parf car,0,1324.0,127.0,1498.0,1.0,17450.0,32001,35404.0,91800.0
audi,audi-q5,2017.0,19-jun-2017,suv,"parf car, premium ad car",0,1795.0,185.0,1984.0,4.0,25010.0,50110,52133.0,103800.0
bmw,bmw-528i,2016.0,28-sep-2016,luxury sedan,"parf car, premium ad car",0,1615.0,180.0,1997.0,3.0,23640.0,58201,47885.0,82888.0
toyota,toyota-voxy,2016.0,31-aug-2017,mpv,"parf car, premium ad car",0,1620.0,112.0,1986.0,1.0,21030.0,50000,37234.0,83800.0
audi,audi-a3,2015.0,13-dec-2016,luxury sedan,parf car,0,1310.0,92.0,1395.0,3.0,14200.0,48000,26642.0,46800.0
volkswagen,volkswagen-beetle,2015.0,18-sep-2015,hatchback,"parf car, premium ad car, low mileage car",0,1222.0,77.0,1197.0,3.0,15920.0,57089,16498.0,26200.0
honda,honda-city,2015.0,03-mar-2015,mid-sized sedan,"parf car, direct owner sale, low mileage car",0,1096.0,88.0,1497.0,2.0,31240.0,57199,7734.0,26000.0
mercedes-benz,mercedes-benz-s350,2007.0,31-jan-2008,luxury sedan,"coe car, premium ad car",0,1850.0,200.0,3498.0,3.0,13550.0,52271,18059.0,46800.0
volvo,volvo-xc90,2017.0,29-jun-2017,suv,parf car,0,2053.0,187.0,1969.0,2.0,28770.0,47501,59655.0,123000.0
toyota,toyota-harrier,2014.0,25-feb-2016,suv,parf car,0,1610.0,111.0,1986.0,3.0,18050.0,44001,19981.0,39800.0
nissan,nissan-latio,2006.0,29-may-2006,mid-sized sedan,"coe car, direct owner sale, low mileage car",0,1110.0,80.0,1498.0,1.0,10970.0,45578,8516.0,20500.0
mazda,mazda-2,2018.0,31-oct-2018,suv,"parf car, premium ad car",0,1572.0,121.0,1998.0,2.0,17250.0,31302,30870.0,87800.0
toyota,toyota-corolla,2010.0,18-oct-2010,mid-sized sedan,"coe car, premium ad car, low mileage car",0,1195.0,90.0,1598.0,3.0,11660.0,17600,4166.0,13800.0
audi,audi-q7,2016.0,30-jun-2016,suv,"parf car, consignment car, low mileage car, sgcarmart warranty cars",0,2050.0,185.0,1984.0,3.0,29430.0,57390,53481.0,92800.0
maserati,maserati-granturismo,2011.0,11-oct-2011,sports car,"coe car, direct owner sale",0,1880.0,323.0,4691.0,6.0,20810.0,42683,28311.0,138000.0
honda,honda-accord,2006.0,06-apr-2006,sports car,"coe car, premium ad car",1,1390.0,162.0,1998.0,6.0,26550.0,47450,8567.0,48000.0
bmw,bmw-523i,2011.0,15-jun-2011,luxury sedan,"coe car, premium ad car, sgcarmart warranty cars",0,1650.0,150.0,2497.0,4.0,13230.0,53932,36600.0,89800.0
audi,audi-a5,2017.0,11-oct-2017,sports car,"parf car, premium ad car",0,1705.0,140.0,1984.0,3.0,23760.0,48109,53611.0,107888.0
audi,audi-s5,2009.0,09-apr-2010,sports car,coe car,0,1875.0,245.0,2995.0,5.0,15640.0,33568,19534.0,91000.0
mazda,mazda-3,2017.0,24-aug-2017,mid-sized sedan,parf car,0,1331.0,88.0,1496.0,2.0,12800.0,46778,23994.0,47800.0
nissan,nissan-nv350,2018.0,28-mar-2019,van,premium ad car,1,1780.0,12.0,2488.0,1.0,10870.0,27021,12926.0,51988.0
toyota,toyota-noah,2019.0,30-jun-2020,mpv,"parf car, hybrid cars",0,1610.0,100.0,1797.0,2.0,21460.0,39700,46707.0,144800.0
audi,audi-tt,2010.0,16-mar-2010,sports car,"coe car, premium ad car",0,1415.0,200.0,1984.0,6.0,16250.0,35416,19814.0,90888.0
nissan,nissan-qashqai,2017.0,25-jan-2018,suv,"parf car, premium ad car",0,1325.0,85.0,1197.0,2.0,14140.0,41400,27740.0,60000.0
suzuki,suzuki-every,2021.0,23-mar-2022,van,"premium ad car, low mileage car",0,920.0,12.0,658.0,1.0,7910.0,39319,29721.0,59800.0
subaru,subaru-impreza,2017.0,29-dec-2017,mid-sized sedan,parf car,0,1438.0,115.0,1995.0,2.0,12960.0,48011,25523.0,50800.0
mini,mini-cooper,2016.0,26-dec-2017,sports car,parf car,0,1535.0,141.0,1998.0,2.0,19970.0,47002,44332.0,91800.0
honda,honda-stream,2008.0,20-feb-2009,mpv,"coe car, premium ad car, low mileage car",0,1350.0,103.0,1799.0,4.0,12700.0,31933,14278.0,56800.0
toyota,toyota-noah,2020.0,29-jun-2020,mpv,"parf car, low mileage car, hybrid cars",0,1610.0,100.0,1797.0,2.0,21030.0,30012,41818.0,142800.0
toyota,toyota-estima,2008.0,24-feb-2009,mpv,"coe car, premium ad car",0,1730.0,125.0,2362.0,5.0,15930.0,50578,18347.0,57800.0
mazda,mazda-3,2014.0,18-jun-2014,mid-sized sedan,"coe car, premium ad car",0,1339.0,88.0,1496.0,2.0,11090.0,44817,43491.0,53800.0
maserati,maserati-grancabrio,2012.0,12-dec-2012,sports car,coe car,0,1980.0,331.0,4691.0,5.0,19750.0,73954,54665.0,146000.0
honda,honda-shuttle,2020.0,29-jan-2021,stationwagon,"parf car, hybrid cars, sgcarmart warranty cars",0,1200.0,101.0,1496.0,1.0,16250.0,50100,40851.0,112800.0
nissan,nissan-cabstar,2015.0,19-oct-2015,truck,-,1,1800.0,19.0,2953.0,1.0,13260.0,15653,2101.0,17800.0
toyota,toyota-altis,2014.0,29-aug-2014,mid-sized sedan,"coe car, direct owner sale, low mileage car",0,1205.0,90.0,1598.0,2.0,13310.0,39241,37628.0,63800.0
fiat,fiat-doblo,2015.0,16-apr-2015,van,-,0,1500.0,12.0,1598.0,1.0,9810.0,53202,4431.0,8200.0
porsche,porsche-cayman,2008.0,25-aug-2008,sports car,"coe car, premium ad car, low mileage car",0,1410.0,217.0,3387.0,6.0,23310.0,34991,13929.0,92800.0
volkswagen,volkswagen-jetta,2016.0,23-dec-2016,mid-sized sedan,"parf car, direct owner sale",0,1417.0,90.0,1390.0,1.0,13650.0,50951,25571.0,45000.0
mercedes-benz,mercedes-benz-b180,2017.0,17-aug-2017,hatchback,"parf car, premium ad car",0,1425.0,90.0,1595.0,1.0,17280.0,51600,32233.0,67000.0
honda,honda-hr-v,2020.0,03-nov-2020,suv,"parf car, sgcarmart warranty cars",0,1200.0,96.0,1496.0,1.0,14550.0,37334,41745.0,102988.0
rolls-royce,rolls-royce-phantom,2021.0,03-may-2021,luxury sedan,"parf car, rare & exotic, premium ad car, low mileage car",0,2720.0,420.0,6749.0,2.0,247580.0,47806,1002074.0,2350000.0
bmw,bmw-216i,2019.0,27-nov-2019,mpv,"parf car, premium ad car",0,1490.0,80.0,1499.0,1.0,16290.0,32000,44327.0,103700.0
nissan,nissan-x-trail,2016.0,11-apr-2016,suv,parf car,0,1626.0,106.0,1997.0,1.0,18160.0,47604,21592.0,44800.0
hyundai,hyundai-avante,2019.0,26-feb-2020,mid-sized sedan,parf car,0,1345.0,93.0,1591.0,1.0,13720.0,32999,29335.0,82800.0
mitsubishi,mitsubishi-canter,2017.0,03-jul-2017,truck,-,1,2160.0,19.0,2998.0,1.0,16460.0,26342,7809.0,48800.0
mercedes-benz,mercedes-benz-amg,2020.0,07-sep-2020,suv,"parf car, premium ad car, hybrid cars",0,1825.0,200.0,1991.0,2.0,31040.0,37102,70369.0,224888.0
toyota,toyota-hiace,2016.0,28-apr-2017,bus/mini bus,premium ad car,0,2140.0,0.0,2982.0,1.0,24420.0,22519,6453.0,69988.0
nissan,nissan-pulsar,2017.0,31-may-2017,hatchback,"parf car, low mileage car",0,1265.0,85.0,1197.0,1.0,14630.0,46489,17880.0,45800.0
mercedes-benz,mercedes-benz-e200,2017.0,19-mar-2018,luxury sedan,"parf car, sgcarmart warranty cars",0,1605.0,135.0,1991.0,3.0,21920.0,39903,58673.0,116000.0
peugeot,peugeot-3008,2018.0,13-apr-2018,suv,"parf car, direct owner sale",0,1270.0,96.0,1199.0,2.0,14110.0,38830,31106.0,66500.0
hyundai,hyundai-i30,2018.0,12-mar-2018,hatchback,"parf car, premium ad car",0,1240.0,103.0,1353.0,2.0,16580.0,42322,20782.0,65800.0
porsche,porsche-911,2023.0,22-jun-2023,sports car,"parf car, rare & exotic, almost new car, low mileage car",0,1525.0,386.0,3996.0,1.0,132090.0,108006,409851.0,1400000.0
kia,kia-niro,2019.0,18-jan-2021,suv,"parf car, consignment car, hybrid cars",0,1425.0,96.0,1580.0,1.0,15320.0,40556,34982.0,103800.0
volkswagen,volkswagen-golf,2019.0,11-jul-2019,hatchback,parf car,0,1270.0,92.0,1395.0,1.0,14980.0,28589,29275.0,85800.0
nissan,nissan-gtr,2008.0,04-jun-2008,sports car,"coe car, premium ad car",0,1750.0,353.0,3799.0,6.0,57780.0,38712,15336.0,228888.0
audi,audi-a3,2017.0,24-nov-2017,luxury sedan,parf car,0,1280.0,85.0,999.0,1.0,16280.0,47112,26269.0,63800.0
toyota,toyota-raize,2020.0,29-jun-2022,suv,"parf car, premium ad car",0,970.0,72.0,996.0,1.0,13970.0,68001,58430.0,114800.0
bmw,bmw-630i,2023.0,22-jan-2024,luxury sedan,"parf car, almost new car, premium ad car, low mileage car, hybrid cars",0,1785.0,182.0,1998.0,1.0,27770.0,106388,127655.0,318800.0
toyota,toyota-alphard,2020.0,14-aug-2020,mpv,"parf car, premium ad car, hybrid cars, sgcarmart warranty cars",0,2210.0,145.0,2493.0,1.0,30120.0,32801,86923.0,225800.0
honda,honda-freed,2021.0,13-sep-2021,mpv,"parf car, premium ad car, hybrid cars",0,1430.0,101.0,1496.0,1.0,18260.0,62600,56431.0,139777.0
bmw,bmw-116d,2016.0,07-mar-2016,hatchback,parf car,0,1350.0,85.0,1496.0,3.0,15640.0,43000,12696.0,30800.0
fiat,fiat-doblo,2016.0,08-dec-2016,van,-,0,1500.0,12.0,1598.0,1.0,8780.0,45589,11304.0,21800.0
toyota,toyota-estima,2016.0,14-nov-2017,mpv,"parf car, premium ad car",0,1790.0,125.0,2362.0,3.0,21280.0,57414,48367.0,94777.0
mercedes-benz,mercedes-benz-e250,2012.0,01-nov-2012,luxury sedan,"coe car, premium ad car",0,1650.0,150.0,1796.0,3.0,12620.0,109643,91920.0,105800.0
subaru,subaru-forester,2010.0,08-mar-2011,suv,coe car,0,1485.0,110.0,1994.0,1.0,12060.0,22793,6807.0,18000.0
scania,scania-p380,2012.0,13-jul-2012,truck,"coe car, direct owner sale, low mileage car",1,24860.0,19.0,11705.0,2.0,28350.0,49633,39530.0,225800.0
mercedes-benz,mercedes-benz-gla180,2018.0,18-jun-2018,suv,parf car,0,1435.0,90.0,1595.0,2.0,17350.0,37000,35325.0,82800.0
hyundai,hyundai-elantra,2017.0,24-jun-2017,mid-sized sedan,"parf car, premium ad car",0,1345.0,93.0,1591.0,2.0,14340.0,42801,22641.0,50800.0
kia,kia-cerato,2009.0,25-may-2009,mid-sized sedan,"coe car, direct owner sale, low mileage car",0,1251.0,92.0,1591.0,6.0,11430.0,26175,12550.0,54800.0
mercedes-benz,mercedes-benz-e250,2018.0,24-may-2018,luxury sedan,parf car,0,1615.0,155.0,1991.0,1.0,24880.0,37605,64477.0,132800.0
toyota,toyota-dyna,2020.0,24-aug-2020,truck,premium ad car,1,1800.0,19.0,2982.0,1.0,13700.0,19911,12328.0,84800.0
nissan,nissan-x-trail,2016.0,13-aug-2016,suv,"parf car, sgcarmart warranty cars",0,1626.0,106.0,1997.0,3.0,15250.0,56000,25926.0,42800.0
honda,honda-civic,2016.0,09-nov-2016,mid-sized sedan,parf car,0,1249.0,92.0,1597.0,1.0,15040.0,51506,23370.0,43588.0
toyota,toyota-wish,2008.0,03-sep-2008,mpv,"coe car, low mileage car",0,1310.0,97.0,1794.0,1.0,11850.0,33377,14082.0,49999.0
toyota,toyota-premio,2008.0,14-oct-2008,mid-sized sedan,"coe car, premium ad car, low mileage car",0,1200.0,81.0,1496.0,5.0,10780.0,30284,12869.0,45800.0
mercedes-benz,mercedes-benz-cla180,2015.0,19-oct-2015,luxury sedan,parf car,0,1430.0,90.0,1595.0,2.0,15770.0,55889,21123.0,31888.0
jeep,jeep-compass,2018.0,15-aug-2019,suv,parf car,0,1683.0,125.0,1368.0,2.0,15980.0,40512,49804.0,101800.0
suzuki,suzuki-vitara,2016.0,20-oct-2017,suv,parf car,0,1160.0,88.0,1586.0,2.0,14620.0,41761,21477.0,54688.0
honda,honda-e,2024.0,07-jun-2024,suv,"parf car, almost new car, hybrid cars",0,1560.0,239.0,1993.0,1.0,17870.0,105689,127410.0,192988.0
toyota,toyota-prius,2018.0,26-sep-2018,mpv,"parf car, hybrid cars",0,1500.0,100.0,1798.0,1.0,17090.0,32001,30247.0,83800.0
jaguar,jaguar-i-pace,2018.0,15-jan-2019,suv,"parf car, low mileage car, electric cars",0,2208.0,294.0,1911.0,2.0,34520.0,32909,95240.0,215800.0
toyota,toyota-altis,2021.0,11-nov-2021,mid-sized sedan,"parf car, premium ad car, sgcarmart warranty cars",0,1315.0,96.0,1598.0,2.0,21880.0,52709,53557.0,171800.0
toyota,toyota-sienta,2018.0,28-may-2018,mpv,"parf car, premium ad car",0,1325.0,79.0,1496.0,2.0,14530.0,38001,25880.0,64800.0
audi,audi-q5,2018.0,28-dec-2018,suv,parf car,0,1795.0,185.0,1984.0,1.0,24610.0,31001,53384.0,139800.0
toyota,toyota-hiace,2020.0,17-aug-2020,van,premium ad car,0,1800.0,0.0,2754.0,1.0,14830.0,23581,14149.0,88988.0
honda,honda-civic,2008.0,11-nov-2008,sports car,"coe car, premium ad car",1,1270.0,165.0,1998.0,3.0,26070.0,32121,14160.0,115000.0
mercedes-benz,mercedes-benz-e250,2016.0,23-feb-2017,luxury sedan,"parf car, premium ad car",0,1615.0,155.0,1991.0,2.0,23500.0,46229,57631.0,100888.0
mercedes-benz,mercedes-benz-a200,2018.0,15-jun-2021,hatchback,"parf car, premium ad car, low mileage car",0,1375.0,120.0,1333.0,1.0,20570.0,60109,70293.0,162800.0
mercedes-benz,mercedes-benz-c180,2012.0,03-oct-2012,luxury sedan,"coe car, premium ad car",0,1485.0,115.0,1595.0,4.0,14260.0,39465,25344.0,45800.0
volkswagen,volkswagen-sharan,2018.0,13-jul-2018,mpv,parf car,0,1790.0,162.0,1984.0,1.0,19790.0,38501,42358.0,99800.0
toyota,toyota-alphard,2023.0,20-apr-2024,mpv,"parf car, almost new car, premium ad car, low mileage car, hybrid cars",0,2210.0,145.0,2493.0,1.0,29700.0,101002,131010.0,326800.0
nissan,nissan-cabstar,2016.0,27-jul-2016,truck,premium ad car,1,1800.0,19.0,2953.0,1.0,11240.0,47889,9289.0,21800.0
mercedes-benz,mercedes-benz-amg,2018.0,27-jun-2019,luxury sedan,"parf car, premium ad car, sgcarmart warranty cars",0,1480.0,90.0,1595.0,2.0,19550.0,30009,38190.0,113800.0
mercedes-benz,mercedes-benz-amg,2020.0,23-apr-2021,luxury sedan,parf car,0,1425.0,100.0,1332.0,2.0,20430.0,61190,75415.0,159807.0
bmw,bmw-520i,2022.0,30-jul-2022,luxury sedan,"parf car, hybrid cars",0,1610.0,137.0,1998.0,1.0,25300.0,110524,136760.0,233800.0
volkswagen,volkswagen-scirocco,2011.0,28-sep-2011,sports car,"coe car, premium ad car",0,1285.0,118.0,1390.0,5.0,12590.0,46358,33441.0,90800.0
volkswagen,volkswagen-golf,2018.0,28-feb-2019,hatchback,"parf car, consignment car",0,1270.0,92.0,1395.0,1.0,13140.0,26301,25750.0,69000.0
bmw,bmw-520i,2020.0,28-sep-2020,luxury sedan,parf car,0,1540.0,135.0,1998.0,1.0,20690.0,41510,76553.0,163800.0
porsche,porsche-cayman,2007.0,09-mar-2009,sports car,"coe car, premium ad car, low mileage car",0,1410.0,217.0,3387.0,3.0,20820.0,33018,15351.0,96800.0
honda,honda-fit,2008.0,18-may-2009,hatchback,coe car,0,1010.0,73.0,1339.0,6.0,11420.0,25525,12238.0,54800.0
kia,kia-niro,2017.0,29-nov-2017,suv,"parf car, hybrid cars, sgcarmart warranty cars",0,1425.0,103.0,1580.0,2.0,16450.0,49996,19454.0,55800.0
toyota,toyota-vellfire,2017.0,29-jan-2018,mpv,"parf car, direct owner sale, low mileage car",0,2065.0,134.0,2494.0,2.0,29600.0,57000,56753.0,135000.0
mitsubishi,mitsubishi-canter,2020.0,25-sep-2020,truck,-,1,2300.0,19.0,2998.0,1.0,14300.0,24759,15547.0,89800.0
citroen,citroen-berlingo,2017.0,07-feb-2018,van,-,0,1460.0,12.0,1560.0,3.0,9540.0,35681,13011.0,34800.0
honda,honda-e,2017.0,27-apr-2017,mpv,"parf car, premium ad car",0,1855.0,129.0,2356.0,1.0,19590.0,54000,35659.0,70555.0
volkswagen,volkswagen-passat,2016.0,17-jun-2016,luxury sedan,"parf car, premium ad car",0,1480.0,132.0,1798.0,2.0,17020.0,46970,28379.0,49900.0
honda,honda-fit,2019.0,03-oct-2019,hatchback,"opc car, parf car, premium ad car, low mileage car",0,1030.0,73.0,1317.0,1.0,12430.0,14759,12091.0,68800.0
toyota,toyota-altis,2020.0,17-aug-2020,mid-sized sedan,"parf car, premium ad car",0,1315.0,96.0,1598.0,1.0,14410.0,33000,35128.0,98800.0
bmw,bmw-218i,2020.0,30-nov-2020,luxury sedan,"parf car, premium ad car",0,1375.0,103.0,1499.0,2.0,16740.0,41503,57777.0,125800.0
honda,honda-vezel,2016.0,04-jan-2017,suv,parf car,0,1190.0,96.0,1496.0,2.0,13680.0,49751,19582.0,39888.0
audi,audi-a5,2021.0,20-oct-2022,luxury sedan,"parf car, direct owner sale, hybrid cars",0,1565.0,110.0,1984.0,1.0,22900.0,110000,120446.0,208000.0
mercedes-benz,mercedes-benz-cla180,2017.0,20-sep-2017,luxury sedan,"parf car, premium ad car, low mileage car",0,1430.0,90.0,1595.0,2.0,19650.0,42900,31770.0,77800.0
peugeot,peugeot-5008,2019.0,09-jul-2019,suv,"parf car, premium ad car",0,1430.0,133.0,1598.0,2.0,16120.0,34000,44204.0,99800.0
mercedes-benz,mercedes-benz-c180,2017.0,25-jan-2018,luxury sedan,"parf car, premium ad car",0,1425.0,115.0,1595.0,2.0,19660.0,47002,44926.0,90000.0
bmw,bmw-116i,2022.0,19-may-2022,hatchback,"parf car, premium ad car",0,1340.0,80.0,1499.0,2.0,15260.0,70901,82843.0,138777.0
kia,kia-cerato,2010.0,29-jun-2010,mid-sized sedan,coe car,0,1251.0,92.0,1591.0,3.0,11570.0,32875,19581.0,68888.0
mazda,mazda-3,2018.0,31-oct-2018,mid-sized sedan,"parf car, consignment car",0,1310.0,88.0,1496.0,1.0,14810.0,25556,21243.0,72000.0
bmw,bmw-420i,2021.0,21-jan-2022,sports car,"parf car, direct owner sale",0,1525.0,135.0,1998.0,2.0,24810.0,82001,107856.0,219000.0
ford,ford-mustang,2016.0,08-nov-2016,sports car,"parf car, premium ad car, sta evaluated car, low mileage car",0,1760.0,233.0,2261.0,3.0,37530.0,53001,48366.0,119800.0
volkswagen,volkswagen-golf,2021.0,20-oct-2021,hatchback,"parf car, premium ad car, hybrid cars",0,1380.0,110.0,1498.0,1.0,17430.0,68310,55739.0,131800.0
mercedes-benz,mercedes-benz-c180,2010.0,07-jul-2010,luxury sedan,"coe car, premium ad car",0,1495.0,115.0,1796.0,2.0,11690.0,35416,20231.0,66800.0
nissan,nissan-x-trail,2018.0,25-nov-2019,suv,"parf car, premium ad car, low mileage car",0,1626.0,106.0,1997.0,1.0,17750.0,40009,41424.0,109777.0
honda,honda-freed,2017.0,10-aug-2017,mpv,"parf car, premium ad car, hybrid cars",0,1430.0,101.0,1496.0,1.0,18230.0,52000,19626.0,60000.0
mercedes-benz,mercedes-benz-e200,2009.0,13-aug-2010,luxury sedan,coe car,0,1615.0,135.0,1796.0,4.0,12500.0,32914,20280.0,77000.0
porsche,porsche-911,2004.0,28-jan-2005,sports car,"coe car, premium ad car, low mileage car",0,1535.0,261.0,3824.0,6.0,14830.0,72726,58181.0,148888.0
audi,audi-a1,2017.0,18-dec-2017,hatchback,parf car,0,1165.0,70.0,999.0,1.0,14030.0,46791,22350.0,53800.0
nissan,nissan-cabstar,2011.0,22-jul-2011,truck,coe car,1,1780.0,19.0,2953.0,1.0,9490.0,19904,7504.0,17888.0
porsche,porsche-macan,2017.0,07-nov-2017,suv,"parf car, consignment car",0,1845.0,185.0,1984.0,2.0,34410.0,49000,71504.0,159000.0
isuzu,isuzu-nnr85,2024.0,21-aug-2024,truck,"almost new car, premium ad car",1,2400.0,19.0,2999.0,1.0,12820.0,70001,56001.0,127800.0
mercedes-benz,mercedes-benz-c180,2013.0,23-apr-2014,luxury sedan,"coe car, premium ad car",0,1485.0,115.0,1595.0,5.0,10730.0,78482,77364.0,105800.0
honda,honda-freed,2024.0,07-jun-2024,mpv,"parf car, almost new car, premium ad car",0,1360.0,95.0,1496.0,1.0,14980.0,88200,101979.0,158888.0
volkswagen,volkswagen-golf,1999.0,01-sep-1999,sports car,"coe car, direct owner sale, low mileage car",0,1308.0,115.0,1595.0,1.0,16370.0,25525,11693.0,75000.0
mitsubishi,mitsubishi-lancer,2016.0,14-dec-2016,mid-sized sedan,parf car,0,1284.0,86.0,1590.0,2.0,13070.0,52668,20914.0,38388.0
toyota,toyota-hiace,2021.0,12-mar-2024,van,"almost new car, premium ad car",0,1800.0,0.0,2754.0,1.0,15090.0,72001,70147.0,146999.0
mercedes-benz,mercedes-benz-glb180,2023.0,27-dec-2023,suv,"parf car, almost new car",0,1550.0,96.0,1332.0,1.0,21950.0,97000,110522.0,227888.0
kia,kia-carens,2016.0,23-nov-2016,mpv,parf car,0,1525.0,104.0,1685.0,1.0,15450.0,56206,26553.0,48388.0
honda,honda-stream,2008.0,21-jan-2009,mpv,"coe car, premium ad car",0,1385.0,103.0,1799.0,5.0,12770.0,31335,14423.0,58800.0
mitsubishi,mitsubishi-attrage,2019.0,27-feb-2020,mid-sized sedan,"parf car, premium ad car, low mileage car, sgcarmart warranty cars",0,940.0,59.0,1193.0,3.0,11260.0,28151,19576.0,65800.0
honda,honda-s2000,2008.0,26-may-2008,sports car,"coe car, premium ad car, low mileage car",1,1250.0,178.0,2156.0,2.0,40220.0,38712,15273.0,158800.0
bmw,bmw-318i,2023.0,28-dec-2023,luxury sedan,"parf car, almost new car, premium ad car, low mileage car",0,1500.0,115.0,1998.0,1.0,21980.0,110001,136007.0,239888.0
byd,byd-seal,2023.0,01-nov-2023,mid-sized sedan,"parf car, almost new car, premium ad car, electric cars",0,1922.0,150.0,1546.0,1.0,20280.0,140889,113911.0,186800.0
audi,audi-a3,2016.0,10-nov-2016,luxury sedan,parf car,0,1310.0,92.0,1395.0,2.0,15900.0,52668,22932.0,46800.0
toyota,toyota-alphard,2021.0,15-dec-2021,mpv,"parf car, premium ad car, hybrid cars",0,2210.0,145.0,2494.0,1.0,30010.0,80401,121349.0,265800.0
bmw,bmw-m4,2019.0,02-apr-2019,suv,"parf car, premium ad car, sgcarmart warranty cars",0,1810.0,265.0,2998.0,1.0,29070.0,39401,88023.0,188888.0
